State,Republican,Democratic,Others,Year,Election,PercentD,Dem Win
SD,203054,170924,7997,2008,Pres,44.747431114601746,False
TN,1479178,1087437,33134,2008,Pres,41.82853806271298,False
TX,4479328,3528633,69834,2008,Pres,43.683121445889626,False
UT,596030,327670,28670,2008,Pres,34.40574566607516,False
VT,98974,219262,6810,2008,Pres,67.45568319560924,True
VA,1725005,1959532,38723,2008,Pres,52.62946987317566,True
WA,1229216,1750848,56814,2008,Pres,57.65289221364836,True
WV,397466,303857,12128,2008,Pres,42.58975038229676,False
WI,1262393,1677211,43813,2008,Pres,56.21778651794235,True
WY,164958,82868,6832,2008,Pres,32.540897988675006,False
Total,59948323,69498516,1866981,2008,Pres,52.92551537987396,True
AL,1255925,795696,22717,2012,Pres,38.35903309875247,False
AK,164676,122640,13179,2012,Pres,40.81265911246443,False
AZ,1233654,1025232,40368,2012,Pres,44.58976694179938,False
AR,647744,394409,27315,2012,Pres,36.87899030172011,False
CA,4839958,7854285,344304,2012,Pres,60.23895914168964,True
CO,1185243,1323102,61177,2012,Pres,51.49214523168122,True
CT,634892,905083,18985,2012,Pres,58.05684558936727,True
DE,165484,242584,5853,2012,Pres,58.606352419906216,True
DC,21381,267070,5313,2012,Pres,90.91311392818724,True
FL,4163447,4237756,72976,2012,Pres,50.007865068698685,True
GA,2078688,1773827,47535,2012,Pres,45.48216048512199,False
HI,121015,306658,7024,2012,Pres,70.54523035585707,True
ID,420911,212787,18576,2012,Pres,32.62233355920978,False
IL,2135216,3019512,87286,2012,Pres,57.60213536247709,True
IN,1420543,1152887,51104,2012,Pres,43.92730290405839,False
IA,730617,822544,29019,2012,Pres,51.98801653414908,True
KS,692634,440726,26611,2012,Pres,37.99457055391902,False
KY,1087190,679370,30652,2012,Pres,37.8013278344458,False
LA,1152262,809141,32662,2012,Pres,40.57746362330215,False
ME,292276,401306,19598,2012,Pres,56.26994587621639,True
MD,971869,1677844,57614,2012,Pres,61.97419077931849,True
MA,1188314,1921290,58163,2012,Pres,60.65124107928392,True
MI,2115256,2564569,51136,2012,Pres,54.20820421051875,True
MN,1320225,1546167,70169,2012,Pres,52.65230315324626,True
MS,710746,562949,11889,2012,Pres,43.78935954398935,False
MO,1482440,1223796,51087,2012,Pres,44.38348354545333,False
MT,267928,201839,14281,2012,Pres,41.6981373748058,False
NE,475064,302081,17234,2012,Pres,38.02731441792898,False
NV,463567,531373,19978,2012,Pres,52.35624947040056,True
