,State,Democratic,Republican,Others,Year,Election,PercentD
119,NE,378388.0,213928.0,0.0,2006,Senate,63.882792293302906
120,NV,238796.0,322501.0,21275.0,2006,Senate,40.98995488969604
121,NJ,1200843.0,997775.0,51452.0,2006,Senate,53.36913962676717
122,NM,394365.0,163826.0,359.0,2006,Senate,70.60513830453854
123,NY,2698931.0,1212902.0,578220.0,2006,Senate,60.10911229778356
124,ND,150146.0,64417.0,3589.0,2006,Senate,68.82632293080054
125,OH,2257369.0,1761037.0,830.0,2006,Senate,56.16413169069943
126,PA,2392984.0,1684778.0,3281.0,2006,Senate,58.6365789333756
127,RI,206110.0,179001.0,340.0,2006,Senate,53.472425807690215
128,TN,879976.0,929911.0,23808.0,2006,Senate,47.989223944003776
129,TX,1555202.0,2661789.0,97672.0,2006,Senate,36.044576366682634
130,UT,177459.0,356238.0,37555.0,2006,Senate,31.064924061535017
131,VT,0.0,84924.0,177495.0,2006,Senate,0.0
132,VA,1175606.0,1166277.0,28562.0,2006,Senate,49.59431667893581
133,WA,1184659.0,832106.0,66969.0,2006,Senate,56.852698089103505
134,WV,296276.0,155043.0,8565.0,2006,Senate,64.42407215732663
135,WI,1439214.0,630299.0,68784.0,2006,Senate,67.30655283152902
136,WY,57671.0,135174.0,291.0,2006,Senate,29.860305691326317
137,Total,33623140.0,26498040.0,2837821.0,2006,Senate,53.4048181609489
138,AL,752391.0,1305383.0,2417.0,2008,Senate,36.52044883217139
139,AK,151767.0,147814.0,18142.0,2008,Senate,47.767080129546805
140,AR,804678.0,0.0,207076.0,2008,Senate,79.53296947677005
141,CO,1231049.0,990784.0,109879.0,2008,Senate,52.795928485164545
142,DE,257539.0,140595.0,0.0,2008,Senate,64.68651258119125
143,GA,2667316.0,3095130.0,127995.0,2008,Senate,45.28211045658551
144,ID,219903.0,371744.0,53133.0,2008,Senate,34.105121126585814
145,IL,3615844.0,1520621.0,193419.0,2008,Senate,67.84095113514665
146,IA,941665.0,560006.0,1247.0,2008,Senate,62.655780288744964
147,KS,441399.0,727121.0,42170.0,2008,Senate,36.45846583353294
148,KY,847005.0,953816.0,0.0,2008,Senate,47.03438042981507
149,LA,988298.0,867177.0,41099.0,2008,Senate,52.109646130338184
150,ME,279510.0,444300.0,620.0,2008,Senate,38.58343801333462
151,MA,1971974.0,926044.0,97229.0,2008,Senate,65.83677406237281
152,MI,3038386.0,1641070.0,169164.0,2008,Senate,62.664964464115556
153,MN,1212629.0,1212317.0,462700.0,2008,Senate,41.99368620668877
154,MS,480915.0,766111.0,1243473.0,2008,Senate,19.309985669538516
155,MT,348289.0,129369.0,0.0,2008,Senate,72.91597754041594
156,NE,317456.0,455854.0,19201.0,2008,Senate,40.05698343619205
157,NH,358438.0,314403.0,21946.0,2008,Senate,51.58962387033724
158,NJ,1951218.0,1461025.0,70202.0,2008,Senate,56.0301167714063
159,NM,505128.0,318522.0,0.0,2008,Senate,61.32799125842288
160,NC,2249311.0,1887510.0,135149.0,2008,Senate,52.652780801363306
161,OK,527736.0,763375.0,55708.0,2008,Senate,39.18388439723526
162,OR,864392.0,805159.0,97953.0,2008,Senate,48.9046700884411
163,RI,320644.0,116174.0,1994.0,2008,Senate,73.07092786888234
164,SC,790621.0,1076534.0,4276.0,2008,Senate,42.2468688399412
165,SD,237889.0,142784.0,0.0,2008,Senate,62.491692344873414
166,TN,767236.0,1579477.0,77872.0,2008,Senate,31.644013305369782
167,TX,3389365.0,4337469.0,185241.0,2008,Senate,42.83787754792516
168,VA,2369327.0,1228830.0,45137.0,2008,Senate,65.03255021417431
169,WV,447560.0,254629.0,119.0,2008,Senate,63.727025749386314
170,WY,126833.0,372109.0,562.0,2008,Senate,25.39178865434511
171,Total,35473711.0,30913256.0,3485123.0,2008,Senate,50.76950038277086
172,AL,515619.0,968181.0,1699.0,2010,Senate,34.71015463490719
173,AK,60045.0,90839.0,106654.0,2010,Senate,23.31500594087086
174,AZ,592011.0,1005615.0,110858.0,2010,Senate,34.65124636812519
175,AR,288156.0,451618.0,40183.0,2010,Senate,36.9451136408802
176,CA,5218137.0,4217386.0,564337.0,2010,Senate,52.18210054940769
177,CO,854685.0,824789.0,98194.0,2010,Senate,48.07900012825792
178,CT,605204.0,498341.0,49570.0,2010,Senate,52.484270866305614
179,DE,174012.0,123053.0,10337.0,2010,Senate,56.607308996037766
180,FL,1092936.0,2645743.0,1672427.0,2010,Senate,20.19801497143098
181,GA,996516.0,1489904.0,68838.0,2010,Senate,38.99864514659576
182,HI,277228.0,79939.0,13416.0,2010,Senate,74.80861237563515
183,ID,112057.0,319953.0,17520.0,2010,Senate,24.927591039530174
184,IL,3360964.0,3456427.0,433066.0,2010,Senate,46.3552021617396
185,IN,697775.0,952116.0,94590.0,2010,Senate,39.99900256867229
186,IA,371686.0,718215.0,26162.0,2010,Senate,33.30331710665079
187,KS,220971.0,587175.0,29546.0,2010,Senate,26.378549633994357
188,KY,600052.0,755706.0,338.0,2010,Senate,44.248489782434284
189,LA,476572.0,715415.0,73007.0,2010,Senate,37.67385457954741
190,MD,1140531.0,655666.0,37661.0,2010,Senate,62.19298331713797
191,MO,789736.0,1054160.0,100003.0,2010,Senate,40.626390568645796
192,NV,362785.0,321361.0,37258.0,2010,Senate,50.28874250766561
193,NH,167545.0,273218.0,14386.0,2010,Senate,36.81102232455745
194,NY,5166091.0,2577913.0,1361563.0,2010,Senate,56.73552234583524
195,NC,1145074.0,1458046.0,56959.0,2010,Senate,43.04661628470433
196,ND,52955.0,181689.0,4168.0,2010,Senate,22.17434634775472
197,OH,1503297.0,2168742.0,143059.0,2010,Senate,39.40388949379544
198,OK,265814.0,718482.0,32855.0,2010,Senate,26.13318966407151
199,OR,825507.0,566199.0,50882.0,2010,Senate,57.22403070038015
