State,Republican,Democratic,Others,Year,Election,PercentD,Change
WY,164958,82868,6832,2008,Pres,32.540897988675006,3.4661818508436966
Total,59948323,69498516,1866981,2008,Pres,52.92551537987396,4.6583928659303595
AL,1255925,795696,22717,2012,Pres,38.35903309875247,-0.38140119582244836
AK,164676,122640,13179,2012,Pres,40.81265911246443,2.9232855130751076
AZ,1233654,1025232,40368,2012,Pres,44.58976694179938,-0.5254839329648959
AR,647744,394409,27315,2012,Pres,36.87899030172011,-1.9856694634041219
CA,4839958,7854285,344304,2012,Pres,60.23895914168964,-0.7736792054446084
CO,1185243,1323102,61177,2012,Pres,51.49214523168122,-2.168208336270304
CT,634892,905083,18985,2012,Pres,58.05684558936727,-2.531800127135739
DE,165484,242584,5853,2012,Pres,58.606352419906216,-3.3363165615977195
DC,21381,267070,5313,2012,Pres,90.91311392818724,-1.5439958279561807
FL,4163447,4237756,72976,2012,Pres,50.007865068698685,-1.0254402019662265
GA,2078688,1773827,47535,2012,Pres,45.48216048512199,-1.5080186109430755
HI,121015,306658,7024,2012,Pres,70.54523035585707,-1.3008875360577008
ID,420911,212787,18576,2012,Pres,32.62233355920978,-3.4686540736280733
IL,2135216,3019512,87286,2012,Pres,57.60213536247709,-4.315979157536141
IN,1420543,1152887,51104,2012,Pres,43.92730290405839,-6.0186087356258895
IA,730617,822544,29019,2012,Pres,51.98801653414908,-1.9400035397161872
KS,692634,440726,26611,2012,Pres,37.99457055391902,-3.6573966400945963
KY,1087190,679370,30652,2012,Pres,37.8013278344458,-3.3667859494829884
LA,1152262,809141,32662,2012,Pres,40.57746362330215,0.6445498209570388
ME,292276,401306,19598,2012,Pres,56.26994587621639,-1.4357914217595749
MD,971869,1677844,57614,2012,Pres,61.97419077931849,0.054846016672556175
MA,1188314,1921290,58163,2012,Pres,60.65124107928392,-1.150325627467332
MI,2115256,2564569,51136,2012,Pres,54.20820421051875,-3.223091055993123
MN,1320225,1546167,70169,2012,Pres,52.65230315324626,-1.4079895450335869
MS,710746,562949,11889,2012,Pres,43.78935954398935,0.7878051177509491
MO,1482440,1223796,51087,2012,Pres,44.38348354545333,-4.909164320251804
MT,267928,201839,14281,2012,Pres,41.6981373748058,-5.551720875823406
NE,475064,302081,17234,2012,Pres,38.02731441792898,-3.570951358995721
NV,463567,531373,19978,2012,Pres,52.35624947040056,-2.790426453918137
NH,329918,369561,11493,2012,Pres,51.97968415071198,-2.147212905422599
NJ,1477568,2125101,37623,2012,Pres,58.37721259723121,1.1050754453452143
NM,335788,415335,32635,2012,Pres,52.992760520466774,-3.9147197423265823
NY,2490431,4485741,104987,2012,Pres,63.34755369848354,0.4632664303482841
NC,2270395,2178391,56586,2012,Pres,48.350968577067555,-1.3534126858520636
ND,188163,124827,9637,2012,Pres,38.69081013058423,-5.929729884133678
OH,2661437,2827709,91701,2012,Pres,50.6680975127969,-0.8361725477284736
OK,891325,443547,0,2012,Pres,33.22768025698344,-1.1272386203230624
OR,754175,970488,64607,2012,Pres,54.239326652769,-2.509479604151643
PA,2680434,2990274,82962,2012,Pres,51.97159378275084,-2.5139342292865408
RI,157204,279677,9168,2012,Pres,62.7009588632639,-0.16304574919227122
SC,1071645,865941,26532,2012,Pres,44.08803340736147,-0.808526610004769
SD,210610,145039,8166,2012,Pres,39.86614075835246,-4.881290356249288
TN,1462330,960709,35538,2012,Pres,39.07581499379519,-2.7527230689177884
TX,4569843,3308124,115884,2012,Pres,41.383358283760856,-2.2997631621287695
UT,740600,251813,25027,2012,Pres,24.74966582796037,-9.656079838114792
VT,92698,199239,7353,2012,Pres,66.5705503023823,-0.8851328932269382
VA,1822522,1971820,60147,2012,Pres,51.15645679621864,-1.4730130769570167
WA,1290670,1755396,79450,2012,Pres,56.163398299672764,-1.4894939139755934
WV,417655,238269,14514,2012,Pres,35.53930415638732,-7.05044622590944
WI,1407966,1620985,39483,2012,Pres,52.82776165301259,-3.3900248649297637
WY,170962,69286,8813,2012,Pres,27.818887742360303,-4.722010246314703
Total,60933504,65915795,2236111,2012,Pres,51.06370658000776,-1.8618087998661963
AL,1318255,729547,75570,2016,Pres,34.35794575797364,-4.001087340778831
AK,163387,116454,38767,2016,Pres,36.550871290111985,-4.261787822352446
AZ,1252401,1161167,159597,2016,Pres,45.12602184469321,0.5362549028938304
AR,684872,380494,65310,2016,Pres,33.651903816831705,-3.227086484888403
CA,4483814,8753792,943998,2016,Pres,61.72638863699762,1.4874294953079783
CO,1202484,1338870,238893,2016,Pres,48.156512712719405,-3.335632518961816
CT,673215,897572,74133,2016,Pres,54.56630109670987,-3.490544492657399
DE,185127,235603,23084,2016,Pres,53.08597745902562,-5.520374960880595
DC,12723,282830,15715,2016,Pres,90.86382152999987,-0.04929239818737585
FL,4617886,4504975,297178,2016,Pres,47.82331580580505,-2.1845492628936327
GA,2089104,1877963,147665,2016,Pres,45.63998335736082,0.15782287223883174
