state,year,totals,pct
DC,2006,252,1160.0
DC,2007,136,-46.03174603174603
DC,2008,259,90.44117647058823
DC,2009,369,42.47104247104247
DC,2010,349,-5.420054200542001
DC,2011,300,-14.04011461318052
DC,2012,449,49.66666666666666
DC,2013,497,10.690423162583528
DC,2014,512,3.0181086519114775
DC,2015,742,44.921875
DC,2016,875,17.9245283018868
DC,2017,1540,76.0
DC,2018,3244,110.64935064935067
DC,2019,5926,82.67570900123305
FL,2000,266035,-4.88559170539864
FL,2001,303396,14.043640874321039
FL,2002,288848,-4.795053329641785
FL,2003,298181,3.2311111726582853
FL,2004,318024,6.654682893946973
FL,2005,370645,16.54623550423868
FL,2006,411728,11.084191072319882
FL,2007,426180,3.5100843275172044
FL,2008,503672,18.18292740156742
FL,2009,556540,10.496513604091561
FL,2010,559347,0.5043662629820034
FL,2011,643229,14.996415463030988
FL,2012,834319,29.70792672594054
FL,2013,1073859,28.710840817481078
FL,2014,1034546,-3.660908927522144
FL,2015,1147082,10.877815002909497
FL,2016,1435340,25.129676867041773
FL,2017,1276549,-11.06295372524977
FL,2018,1203145,-5.750190552810741
FL,2019,1195539,-0.6321765040788963
GA,2000,352357,-14.019423635343209
GA,2001,325521,-7.616139313253322
GA,2002,285201,-12.386297658215595
GA,2003,282218,-1.0459290114691044
GA,2004,232203,-17.722115527712624
GA,2005,257815,11.030003918984676
GA,2006,311901,20.978608692279344
GA,2007,270468,-13.284022814931662
GA,2008,367374,35.82900749811437
GA,2009,373237,1.595921322684779
GA,2010,333247,-10.714371833446313
GA,2011,367894,10.396792769327256
GA,2012,465560,26.547320695635147
GA,2013,527885,13.387103703067282
GA,2014,484580,-8.203491290716725
GA,2015,566946,16.997399810144877
GA,2016,612985,8.120526469893075
GA,2017,541655,-11.636500077489664
GA,2018,549532,1.454246706852147
GA,2019,539113,-1.8959769403783633
HI,2000,6609,23.69455362156092
HI,2001,7464,12.936904221516121
HI,2002,7807,4.595391211146849
HI,2003,7439,-4.713718457794291
HI,2004,7298,-1.8954160505444295
HI,2005,7575,3.7955604275143884
HI,2006,7588,0.17161716171616437
HI,2007,6521,-14.061676331049021
HI,2008,8569,31.40622603895109
HI,2009,10511,22.66308787489788
HI,2010,10533,0.20930453810295013
HI,2011,12635,19.956327731890244
HI,2012,17428,37.934309457855164
HI,2013,17416,-0.0688547165480835
HI,2014,15225,-12.580385852090037
HI,2015,15290,0.42692939244663997
HI,2016,16681,9.097449313276652
HI,2017,12742,-23.613692224686766
HI,2018,14088,10.563490817768017
HI,2019,12666,-10.09369676320273
ID,2000,77138,-3.4737342643341607
ID,2001,75400,-2.2531048251186236
ID,2002,74062,-1.7745358090185626
ID,2003,74669,0.8195835921255057
ID,2004,75553,1.1838915748168644
ID,2005,80343,6.339920320834391
ID,2006,91018,13.28678291823806
ID,2007,93897,3.1631105935089776
ID,2008,100457,6.986378691544992
ID,2009,99243,-1.20847725892671
ID,2010,92031,-7.267011275354429
ID,2011,106616,15.847920809292514
ID,2012,136482,28.012681023486152
ID,2013,147494,8.068463240573841
ID,2014,131742,-10.679756464669754
ID,2015,136946,3.9501449803403643
ID,2016,156343,14.163977042045772
ID,2017,182099,16.4740346545736
ID,2018,207320,13.850158430304393
ID,2019,209275,0.9429866872467718
IL,2000,449771,-7.23463848463849
IL,2001,462702,2.875018620586922
IL,2002,446138,-3.5798418852738934
IL,2003,515917,15.640676203327232
IL,2004,590417,14.440307258725715
IL,2005,527134,-10.718356686884011
IL,2006,527698,0.10699366764428397
IL,2007,536975,1.758013105981071
IL,2008,615941,14.705712556450479
IL,2009,752071,22.101142804262096
IL,2010,695300,-7.5486224040017476
IL,2011,828962,19.223644470012946
IL,2012,1036061,24.98293046002109
IL,2013,1280613,23.604015593676444
IL,2014,1344096,4.957235324020615
IL,2015,1247398,-7.194277789681691
IL,2016,1924070,54.246679888856654
IL,2017,1601087,-16.786447478522092
IL,2018,2831447,76.84529322891261
IL,2019,4949570,74.80708627073011
IN,2000,182319,-10.268133988246985
IN,2001,195780,7.383212939956896
IN,2002,188235,-3.853815507201963
IN,2003,183853,-2.3279411374080294
IN,2004,176520,-3.9885125616661132
IN,2005,172249,-2.4195558576931786
IN,2006,185655,7.782918913897907
IN,2007,186864,0.6512078855942516
IN,2008,219900,17.679167736963784
IN,2009,273803,24.512505684401997
IN,2010,345650,26.240399119074652
IN,2011,359840,4.105308838420374
IN,2012,475607,32.1717985771454
IN,2013,597124,25.549876263385517
IN,2014,647550,8.444812132823332
IN,2015,1076917,66.306385607289
IN,2016,1436725,33.410931390255705
IN,2017,830357,-42.20487567210148
IN,2018,896148,7.923218567435453
IN,2019,1450565,61.86667827189258
IA,2000,87796,-4.799288672984758
IA,2001,89658,2.1208255501389495
IA,2002,90358,0.7807446072854551
IA,2003,95127,5.277894597047306
IA,2004,98517,3.5636570058973804
IA,2005,100344,1.8545022686439872
IA,2006,101430,1.0822769672327093
IA,2007,98888,-2.506161885043867
IA,2008,108330,9.548175713938999
IA,2009,120233,10.987722699159974
IA,2010,124738,3.746891452429857
IA,2011,179944,44.25756385383763
IA,2012,147700,-17.918908104743704
IA,2013,160062,8.369668246445494
IA,2014,127022,-20.642001224525497
IA,2015,147309,15.971249074963389
IA,2016,202277,37.31476013006674
IA,2017,160981,-20.41556874978371
IA,2018,189159,17.503929035103518
IA,2019,182802,-3.360664837517646
KS,2000,96716,-8.85135899272439
KS,2001,95408,-1.3524132511683717
KS,2002,94110,-1.3604729163172902
KS,2003,97365,3.458718520879822
KS,2004,99007,1.6864376315924634
KS,2005,98311,-0.702980597331504
KS,2006,109143,11.018095635279867
KS,2007,111502,2.1613846055175356
KS,2008,126084,13.077792326595027
KS,2009,142984,13.403762570984412
KS,2010,144156,0.8196721311475308
KS,2011,164898,14.388579039374005
KS,2012,210972,27.940908925517594
KS,2013,228105,8.120982879244632
KS,2014,172167,-24.5229170776616
KS,2015,185859,7.952743557127673
KS,2016,196548,5.751133924103757
KS,2017,191451,-2.593259661762015
KS,2018,172047,-10.135230424495045
KS,2019,167010,-2.9276883642260554
KY,2000,229896,-7.379175865792142
KY,2001,238996,3.95831158436859
KY,2002,229423,-4.005506368307421
KY,2003,226869,-1.1132275316772966
KY,2004,234974,3.572546271196142
KY,2005,232589,-1.0150059155481062
KY,2006,791599,240.34240656264916
KY,2007,1587850,100.58767128306125
KY,2008,1881101,18.46843215668987
KY,2009,2189578,16.398747329356578
KY,2010,2385579,8.951542260654799
KY,2011,2280832,-4.39084180402326
KY,2012,2589358,13.52690597115438
KY,2013,1578331,-39.0454699581904
KY,2014,2492184,57.89995888061503
KY,2015,3218371,29.13857885292579
KY,2016,3676847,14.245591946981872
KY,2017,4641480,26.23533152181747
KY,2018,4912441,5.837814662564522
KY,2019,4120892,-16.113150264807253
LA,2000,174706,-10.87110680305079
LA,2001,177775,1.756665483726949
LA,2002,169580,-4.609759527492619
LA,2003,175693,3.6047883005071446
LA,2004,172421,-1.8623394216047306
LA,2005,207954,20.60827857395562
LA,2006,212176,2.0302566913836806
LA,2007,208201,-1.8734446874293043
LA,2008,248355,19.286170575549598
LA,2009,247084,-0.5117674296873376
LA,2010,239204,-3.1891988149779005
LA,2011,264552,10.596812762328378
LA,2012,326290,23.336810910520423
LA,2013,353025,8.193631432161563
LA,2014,315357,-10.670065859358402
LA,2015,372613,18.155931214464882
LA,2016,391869,5.167828282963827
LA,2017,329201,-15.992078985579361
LA,2018,307192,-6.685581149510478
LA,2019,282264,-8.114794656110835
ME,2000,45028,-4.520780322307038
ME,2001,50019,11.084214266678515
ME,2002,49922,-0.1939263080029563
ME,2003,50897,1.953046752934573
ME,2004,52665,3.4736821423659636
ME,2005,50319,-4.454571347194536
ME,2006,53106,5.5386633279675745
ME,2007,51279,-3.4402892328550427
ME,2008,56561,10.300512880516388
ME,2009,60955,7.768603808277796
ME,2010,65988,8.25691083586253
ME,2011,73127,10.81863369097411
ME,2012,91834,25.58152255664803
ME,2013,96760,5.364026395452659
ME,2014,83085,-14.13290615957007
ME,2015,94744,14.032617199253771
ME,2016,111582,17.772101663429886
ME,2017,96590,-13.435858830277281
ME,2018,93360,-3.3440314732373966
ME,2019,90626,-2.9284490145672692
MD,2000,84309,-7.739026712336261
MD,2001,83347,-1.1410406955366548
MD,2002,78764,-5.498698213492991
MD,2003,78270,-0.6271900868417002
MD,2004,77481,-1.008049060942895
MD,2005,80947,4.473354757940662
MD,2006,82207,1.5565740546283457
MD,2007,80249,-2.3817923047915635
MD,2008,89583,11.631297586262757
MD,2009,95191,6.260116316711883
MD,2010,88162,-7.3841014381611725
MD,2011,103020,16.8530659467798
MD,2012,136604,32.59949524364201
MD,2013,231182,69.2351614886826
MD,2014,142207,-38.48699293197567
MD,2015,125694,-11.611945966091685
MD,2016,165367,31.563161328305256
MD,2017,158659,-4.056432057181903
MD,2018,151470,-4.531101292709517
MD,2019,148813,-1.7541427345348914
MA,2000,54843,125.56140495187958
MA,2001,66635,21.501376657002712
MA,2002,94824,42.30359420724845
MA,2003,131395,38.56724036109003
MA,2004,112996,-14.00281593667948
MA,2005,105347,-6.769266168713939
MA,2006,137148,30.186906129268042
MA,2007,165446,20.633184588911256
MA,2008,119859,-27.554005536549685
MA,2009,98864,-17.516415121100625
MA,2010,115904,17.235798672924417
MA,2011,153487,32.4259732192159
MA,2012,210453,37.11454390274096
MA,2013,251361,19.438069307636386
MA,2014,179344,-28.65082490919435
MA,2015,167285,-6.7239495048621585
MA,2016,226212,35.225513345488245
MA,2017,206492,-8.717486251834561
MA,2018,211295,2.3259981016213738
MA,2019,212316,0.4832106770155553
MI,2000,300661,-2.309524351055503
MI,2001,363424,20.875005404758173
MI,2002,353540,-2.7196882979660164
MI,2003,342161,-3.218589127114324
MI,2004,342418,0.07511083963396281
MI,2005,337035,-1.5720552073781202
MI,2006,332428,-1.3669203495185966
MI,2007,311851,-6.189911800450021
MI,2008,357335,14.58517048205714
MI,2009,362172,1.3536317461205982
MI,2010,348200,-3.857835503572893
MI,2011,356635,2.422458357265933
MI,2012,430405,20.685014090036024
MI,2013,503979,17.094132270768235
MI,2014,424091,-15.851454128048982
MI,2015,500921,18.11639483035481
MI,2016,579605,15.707866110624224
MI,2017,513243,-11.449521656990536
MI,2018,489957,-4.537032166050004
MI,2019,492171,0.4518763891525168
MN,2000,185100,4.030259260716362
MN,2001,191935,3.6925985953538687
MN,2002,192392,0.23810144059186467
MN,2003,229728,19.406212316520445
MN,2004,227846,-0.8192296977294844
MN,2005,224165,-1.6155648990985094
MN,2006,244712,9.166016104208952
MN,2007,248086,1.378763607832889
MN,2008,277175,11.725369428343392
MN,2009,285130,2.8700279606746593
MN,2010,297390,4.29979307684214
MN,2011,337534,13.49877265543562
MN,2012,440992,30.65113440423779
MN,2013,525774,19.225292068790356
MN,2014,481122,-8.492622305401177
MN,2015,519244,7.923562007141638
MN,2016,651599,25.489943071080255
MN,2017,683544,4.90255509907167
MN,2018,604078,-11.62558664840888
MN,2019,682356,12.95826035710621
MS,2000,163980,-9.957499148884763
MS,2001,159421,-2.7802170996462983
MS,2002,149948,-5.9421280759749395
MS,2003,150877,0.6195481100114808
MS,2004,152294,0.9391756198757983
MS,2005,167713,10.124496040553144
MS,2006,179087,6.781823710743939
MS,2007,175298,-2.115731460128323
MS,2008,181068,3.291537838423708
MS,2009,167057,-7.737976892659115
MS,2010,169873,1.6856522025416432
MS,2011,185059,8.9396195981704
MS,2012,222297,20.122231288399917
MS,2013,231711,4.23487496457442
MS,2014,214829,-7.285799983600261
MS,2015,252372,17.47575979034488
MS,2016,276161,9.426164550742545
MS,2017,251852,-8.802473919199304
MS,2018,247278,-1.8161459905023603
MS,2019,238388,-3.595143927078026
MO,2000,191578,-7.287210360247009
MO,2001,199470,4.119470920460588
MO,2002,197990,-0.7419662104577118
MO,2003,202865,2.462245567957977
MO,2004,209316,3.179947255564053
MO,2005,214241,2.352901832635834
MO,2006,230374,7.530304656905074
MO,2007,274085,18.973929349666196
MO,2008,321487,17.294634876042103
MO,2009,355678,10.635266744845051
MO,2010,349672,-1.6886059863134628
MO,2011,394923,12.94098469422773
MO,2012,513303,29.975463571379745
MO,2013,567009,10.462826050110753
MO,2014,517063,-8.808678521857683
MO,2015,584875,13.114842872145172
MO,2016,632319,8.111818764693313
MO,2017,524973,-16.976557718493357
MO,2018,496184,-5.483901076817288
MO,2019,497858,0.33737484481564106
MT,2000,71115,-2.6182097032604434
MT,2001,74752,5.114251564367578
MT,2002,76322,2.100278253424648
MT,2003,80786,5.84890333062551
MT,2004,83545,3.4151957022256374
MT,2005,84060,0.6164342569872527
MT,2006,87770,4.413514156554843
MT,2007,90355,2.945197675743416
MT,2008,97599,8.017265231586524
MT,2009,101976,4.484677097101408
MT,2010,101095,-0.863928767553146
MT,2011,108974,7.793659429249722
MT,2012,134455,23.38264173105511
MT,2013,137830,2.510133501915135
MT,2014,121836,-11.604150039904226
MT,2015,127705,4.817131225581939
MT,2016,136337,6.7593281390705195
MT,2017,123938,-9.094376434863605
MT,2018,117607,-5.108199260920787
MT,2019,115823,-1.5169165100716753
NE,2000,44825,-6.534748430951442
NE,2001,44401,-0.9459007250418261
NE,2002,43177,-2.7566946690389837
NE,2003,44758,3.6616717233712404
NE,2004,48436,8.2175253585951
NE,2005,48172,-0.5450491370055377
NE,2006,51221,6.329402972681231
NE,2007,52042,1.6028582026903049
NE,2008,56589,8.73717382114445
NE,2009,59328,4.840163282616761
NE,2010,58283,-1.761394282632145
NE,2011,65860,13.000360310896841
NE,2012,85860,30.36744609778317
NE,2013,91553,6.630561378989053
NE,2014,68568,-25.105676493397265
NE,2015,79340,15.709952164274888
NE,2016,88663,11.750693219057219
NE,2017,74318,-16.17924049490769
NE,2018,74477,0.2139454775424543
NE,2019,68236,-8.379768250600861
NV,2000,49807,-20.14909819639279
NV,2001,50549,1.4897504366855996
NV,2002,47155,-6.7142772359492735
NV,2003,49432,4.828756229456044
NV,2004,54754,10.766305227383066
NV,2005,62727,14.56149322423932
NV,2006,72963,16.318331818833997
NV,2007,70276,-3.6826884859449294
NV,2008,95252,35.53987136433492
NV,2009,107343,12.693696720278847
NV,2010,104789,-2.379288821814185
NV,2011,118740,13.313420301749224
NV,2012,146363,23.263432710122967
NV,2013,146892,0.36143014286398323
NV,2014,116735,-20.53004928791221
NV,2015,127480,9.204608729172904
NV,2016,147992,16.09036711641041
NV,2017,129622,-12.412833126114931
NV,2018,127434,-1.6879850642637861
NV,2019,128312,0.6889841015741416
NH,2000,40120,6.388056535228448
NH,2001,45727,13.975573280159526
NH,2002,49666,8.614166684890767
NH,2003,54724,10.184029315829735
NH,2004,56791,3.777136174256257
NH,2005,55761,-1.813667658607876
NH,2006,63159,13.26733738634529
NH,2007,65110,3.0890292753210202
NH,2008,67293,3.3527875902319204
NH,2009,76102,13.090514615190285
NH,2010,79940,5.043231452524233
NH,2011,90984,13.815361521140845
NH,2012,128178,40.87971511474544
NH,2013,147726,15.250667041145904
NH,2014,124677,-15.602534421835024
NH,2015,136816,9.73635875101262
NH,2016,165164,20.719798853935224
NH,2017,129090,-21.841321353321554
NH,2018,120889,-6.35293206290185
NH,2019,112173,-7.209919843823675
NJ,2000,37106,-3.8729566591539033
NJ,2001,39527,6.524551285506397
NJ,2002,43318,9.590912540794893
NJ,2003,41733,-3.658987026178495
NJ,2004,37376,-10.44017923465842
NJ,2005,36582,-2.124357876712324
NJ,2006,37318,2.011918429828885
NJ,2007,36412,-2.4277828393804546
NJ,2008,40525,11.295726683510932
NJ,2009,55533,37.033929673041335
NJ,2010,50522,-9.023463526191634
NJ,2011,60256,19.2668540437829
NJ,2012,85851,42.47709771640999
NJ,2013,120071,39.85975702088502
NJ,2014,92320,-23.112158639471648
NJ,2015,90034,-2.4761698440207924
NJ,2016,121853,35.341093364728884
NJ,2017,103739,-14.865452635552678
NJ,2018,93124,-10.23241018324834
NJ,2019,91257,-2.004853743395907
NM,2000,84034,-10.986589835391813
NM,2001,84874,0.9995954018611419
NM,2002,80057,-5.675471875957305
NM,2003,79140,-1.145433878361668
NM,2004,81546,3.040181956027288
NM,2005,82051,0.6192823682338755
NM,2006,90321,10.079097146896432
NM,2007,93304,3.3026649394935825
NM,2008,106131,13.74753493955243
NM,2009,106854,0.681233569833517
NM,2010,109069,2.0729219308589286
NM,2011,115620,6.006289596493963
NM,2012,143419,24.04341809375541
NM,2013,156333,9.004385750841948
NM,2014,139780,-10.588295497431766
NM,2015,147912,5.8177135498640675
NM,2016,161216,8.99453729244415
NM,2017,159779,-0.8913507344184168
NM,2018,156853,-1.8312794547468703
NM,2019,156829,-0.015300950571550676
NY,2000,163974,-12.138115063736754
NY,2001,175967,7.31396440899168
NY,2002,160927,-8.547057118664291
NY,2003,150831,-6.273652028559528
NY,2004,160222,6.226173664564971
NY,2005,158781,-0.8993771142539742
NY,2006,199015,25.339303820986146
NY,2007,212174,6.61206441725497
NY,2008,221920,4.5933997568033735
NY,2009,241165,8.672043979812539
NY,2010,241495,0.13683577633569755
NY,2011,271837,12.564235284374426
NY,2012,338619,24.566927975220445
NY,2013,353064,4.265856316390981
NY,2014,365427,3.501631432261565
NY,2015,346048,-5.303111154895501
NY,2016,404772,16.969900129461802
NY,2017,382495,-5.5035921457017745
NY,2018,358614,-6.243480306932114
NY,2019,355374,-0.9034783918084655
NC,2000,290884,-6.0776798716206
NC,2001,289571,-0.45138268175629603
NC,2002,268916,-7.132965662998025
NC,2003,264488,-1.646610837584972
NC,2004,276480,4.53404313239163
NC,2005,271527,-1.7914496527777768
NC,2006,290024,6.812213886648477
NC,2007,289215,-0.2789424323504264
NC,2008,347473,20.14349186591291
NC,2009,368460,6.039893747140068
NC,2010,331637,-9.993757802746572
NC,2011,375211,13.139064700259627
NC,2012,489307,30.40849015620544
NC,2013,574622,17.435883811186017
NC,2014,1182349,105.76117865309715
NC,2015,531876,-55.01531273760962
NC,2016,601445,13.079928404364939
NC,2017,537813,-10.579853519440686
NC,2018,529916,-1.468354242087866
NC,2019,530365,0.08473041010272908
ND,2000,32358,8.351192070720593
ND,2001,32105,-0.7818777427529566
ND,2002,31339,-2.38592119607538
ND,2003,33393,6.554133826861097
ND,2004,34690,3.8840475548767683
ND,2005,36000,3.7763044104929477
ND,2006,39436,9.544444444444444
ND,2007,42311,7.2902931331778165
ND,2008,46832,10.685164614402876
ND,2009,47962,2.412880081995228
ND,2010,47083,-1.8327008882031648
ND,2011,61032,29.626404434721664
ND,2012,84867,39.05328352339757
ND,2013,85812,1.1135070168616812
ND,2014,70548,-17.787721996923512
ND,2015,69429,-1.5861541078414643
ND,2016,72036,3.7549150931167175
ND,2017,66977,-7.022877450163811
ND,2018,62334,-6.932230467175304
ND,2019,60389,-3.1202874835563277
OH,2000,274165,-7.873735286310013
OH,2001,292159,6.563200992103302
OH,2002,297033,1.6682696750741854
OH,2003,298632,0.5383240246033205
OH,2004,327040,9.512711296846966
OH,2005,313159,-4.244434931506847
OH,2006,325132,3.8232974303788136
OH,2007,326114,0.3020311750304483
OH,2008,350014,7.328725537695413
OH,2009,395580,13.018336409400778
OH,2010,393250,-0.5890085444157922
OH,2011,468974,19.255944055944063
OH,2012,629215,34.168418718308466
OH,2013,680930,8.218971257837149
OH,2014,596389,-12.415519950655717
OH,2015,748502,25.505668280266747
OH,2016,875724,16.996881771858984
OH,2017,753072,-14.005782643846686
OH,2018,717475,-4.726905262710601
OH,2019,638495,-11.008049060942893
